client_id,anciennete_mois,plan,industrie,revenu_mensuel,connexions_30j,tickets_support_6m,adoption_fonctionnalites_pct,nps,retards_paiement,nb_utilisateurs,jours_sans_connexion,type_contrat,mention_concurrent,hausse_prix_annoncee,score_risque_churn,a_churne,raison_depart,cohorte_anciennete,statut_client,tier_risque,segment_engagement,mention_concurrent_txt,hausse_prix_txt
CLI00514,56,Professionnel,Services professionnels,765.19,41,3,31.0,8,0,140,32,Annuel,0,1,0.043,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00515,56,Professionnel,Commerce de détail,647.58,30,3,35.4,5,2,93,36,Pluriannuel,0,1,0.042,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00516,75,Entreprise,Technologie,3794.46,35,9,34.2,10,3,128,138,Mensuel,0,0,0.112,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00517,17,Professionnel,Manufacturier,794.83,24,15,65.8,8,3,187,115,Mensuel,1,0,0.252,0,(client actif),13-24 mois,Actif,🟢 Faible,Modéré,Oui,Non
CLI00518,62,Professionnel,Commerce de détail,765.25,44,2,9.9,2,4,65,55,Mensuel,0,1,0.174,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00519,21,Démarrage,Manufacturier,149.22,49,11,70.7,3,4,96,117,Pluriannuel,0,0,0.069,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00520,37,Premium,Santé,11693.93,40,16,52.4,8,4,37,25,Pluriannuel,1,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00521,34,Entreprise,Finance,4061.99,39,4,20.6,1,0,148,162,Mensuel,1,1,0.379,1,Manque de fonctionnalités,25-48 mois,Parti,🟡 Moyen,Actif engagé,Oui,Oui
CLI00522,29,Professionnel,Commerce de détail,919.87,29,2,25.4,1,0,37,153,Mensuel,0,0,0.309,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00523,68,Premium,Santé,12516.57,37,15,13.8,9,0,159,8,Pluriannuel,0,1,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00524,60,Démarrage,Manufacturier,296.36,20,18,46.3,7,1,25,53,Mensuel,0,0,0.116,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00525,11,Professionnel,Commerce de détail,421.3,18,3,58.5,10,0,50,10,Pluriannuel,0,0,0.02,0,(client actif),7-12 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00526,82,Professionnel,Santé,456.07,15,8,57.3,9,3,109,78,Mensuel,0,0,0.172,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00527,60,Professionnel,Commerce de détail,621.53,32,3,91.6,5,3,49,93,Mensuel,0,0,0.114,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00528,80,Entreprise,Santé,3033.96,46,9,31.6,4,1,8,129,Annuel,0,1,0.253,1,Mauvais service support,48+ mois,Parti,🟢 Faible,Actif engagé,Non,Oui
CLI00529,74,Professionnel,Santé,596.13,5,16,73.6,1,0,94,147,Mensuel,0,0,0.206,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00530,34,Entreprise,Manufacturier,2720.59,41,15,70.1,0,0,121,20,Mensuel,1,0,0.111,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00531,33,Professionnel,Finance,640.08,36,6,10.5,2,2,91,48,Mensuel,0,0,0.123,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00532,10,Démarrage,Technologie,163.03,7,14,88.7,10,2,163,72,Annuel,0,0,0.021,0,(client actif),7-12 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00533,60,Entreprise,Santé,1522.77,0,17,88.8,5,3,114,58,Pluriannuel,0,0,0.074,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00534,26,Premium,Finance,19340.63,12,5,40.7,10,4,13,38,Annuel,0,1,0.126,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00535,25,Professionnel,Services professionnels,855.49,25,14,42.6,10,3,21,170,Annuel,0,0,0.418,0,(client actif),25-48 mois,Actif,🟡 Moyen,Actif engagé,Non,Non
CLI00536,2,Professionnel,Technologie,869.43,15,10,78.8,4,1,73,88,Annuel,0,0,0.079,0,(client actif),0-6 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00537,3,Entreprise,Manufacturier,2458.84,48,19,49.6,5,0,152,7,Annuel,1,0,0.233,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00538,32,Entreprise,Commerce de détail,2614.54,38,4,76.9,10,2,176,20,Annuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00539,1,Démarrage,Finance,286.17,46,15,8.3,6,3,33,26,Mensuel,0,0,0.02,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00540,24,Professionnel,Commerce de détail,980.04,55,11,27.5,6,1,1,89,Annuel,0,0,0.099,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00541,50,Entreprise,Commerce de détail,4769.48,45,3,13.2,2,4,72,84,Annuel,0,0,0.056,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00542,43,Démarrage,Technologie,227.52,57,1,45.9,10,3,3,56,Annuel,0,1,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00543,44,Professionnel,Services professionnels,468.9,27,15,81.9,9,0,142,62,Annuel,1,0,0.167,1,Manque de fonctionnalités,25-48 mois,Parti,🟢 Faible,Actif engagé,Oui,Non
CLI00544,33,Professionnel,Finance,722.48,48,7,56.3,7,0,142,128,Annuel,0,0,0.141,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00545,38,Entreprise,Santé,3355.35,56,16,51.8,7,2,177,36,Annuel,0,0,0.057,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00546,52,Entreprise,Services professionnels,4631.94,22,8,37.9,10,1,122,20,Mensuel,1,0,0.036,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Oui,Non
CLI00547,35,Démarrage,Technologie,161.33,6,5,10.7,2,4,33,146,Mensuel,1,0,0.344,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Oui,Non
CLI00548,17,Démarrage,Finance,139.14,23,3,74.0,5,4,4,27,Annuel,0,0,0.02,0,(client actif),13-24 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00549,58,Entreprise,Santé,2062.23,45,12,56.4,8,1,38,133,Annuel,0,0,0.032,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00550,48,Entreprise,Commerce de détail,1971.58,7,13,88.8,0,2,153,95,Mensuel,0,0,0.245,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00551,43,Démarrage,Manufacturier,228.68,44,11,43.9,10,0,47,174,Mensuel,0,0,0.278,1,Prix trop élevé,25-48 mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00552,48,Professionnel,Manufacturier,867.7,0,2,41.1,1,4,141,41,Annuel,0,0,0.049,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00553,44,Entreprise,Technologie,2471.45,3,14,92.7,1,1,119,85,Mensuel,0,0,0.138,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00554,33,Démarrage,Services professionnels,134.28,42,14,17.7,4,2,117,52,Mensuel,0,0,0.181,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00555,75,Professionnel,Santé,539.16,40,14,27.7,5,0,167,131,Mensuel,0,0,0.229,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00556,83,Entreprise,Santé,3185.23,18,14,48.9,2,1,25,58,Pluriannuel,0,0,0.154,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00557,76,Entreprise,Manufacturier,3656.94,21,7,52.1,3,2,102,90,Annuel,0,0,0.16,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00558,2,Entreprise,Santé,3198.19,35,16,54.4,9,3,43,153,Annuel,0,1,0.34,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00559,10,Professionnel,Finance,478.71,0,13,24.1,1,1,166,120,Annuel,1,0,0.392,0,(client actif),7-12 mois,Actif,🟡 Moyen,Très inactif,Oui,Non
CLI00560,83,Premium,Finance,18769.28,18,5,88.4,2,4,35,169,Annuel,0,1,0.117,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00561,28,Démarrage,Manufacturier,186.56,50,16,68.3,7,1,93,41,Mensuel,0,1,0.091,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00562,47,Professionnel,Commerce de détail,620.28,28,1,28.3,4,0,183,33,Pluriannuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00563,8,Professionnel,Commerce de détail,976.17,18,10,31.5,1,1,50,38,Mensuel,0,1,0.144,0,(client actif),7-12 mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00564,23,Démarrage,Commerce de détail,272.67,42,15,84.2,9,0,78,146,Annuel,1,0,0.17,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00565,48,Professionnel,Manufacturier,863.39,5,18,39.2,9,2,34,49,Mensuel,0,1,0.169,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00566,63,Démarrage,Technologie,135.54,24,16,55.1,10,3,153,61,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00567,77,Professionnel,Santé,885.66,38,5,15.8,1,0,170,16,Mensuel,0,0,0.124,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00568,37,Professionnel,Finance,617.72,22,13,27.7,3,2,92,85,Pluriannuel,0,0,0.156,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00569,12,Entreprise,Services professionnels,1836.58,0,12,42.5,8,2,179,44,Pluriannuel,0,1,0.095,0,(client actif),7-12 mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00570,74,Premium,Finance,19862.23,14,6,64.1,5,3,94,31,Pluriannuel,0,1,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00571,81,Démarrage,Services professionnels,133.41,24,12,30.2,0,4,165,95,Mensuel,0,0,0.16,1,Faillite/Fermeture,48+ mois,Parti,🟢 Faible,Modéré,Non,Non
CLI00572,65,Premium,Technologie,18828.06,3,5,90.6,10,4,66,155,Mensuel,0,1,0.355,0,(client actif),48+ mois,Actif,🟡 Moyen,Très inactif,Non,Oui
CLI00573,15,Premium,Santé,5006.93,44,1,24.8,3,1,85,169,Pluriannuel,0,0,0.392,0,(client actif),13-24 mois,Actif,🟡 Moyen,Actif engagé,Non,Non
CLI00574,80,Démarrage,Commerce de détail,186.58,55,4,75.1,2,4,34,114,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00575,10,Premium,Services professionnels,5447.44,43,11,37.8,0,1,166,3,Pluriannuel,0,0,0.02,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00576,42,Professionnel,Finance,937.72,0,14,80.0,5,0,159,95,Annuel,0,0,0.194,0,(client actif),25-48 mois,Actif,🟢 Faible,Très inactif,Non,Non
CLI00577,26,Premium,Commerce de détail,6887.34,39,5,88.1,9,0,154,162,Annuel,0,1,0.1,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00578,49,Premium,Commerce de détail,15095.48,56,0,21.8,0,1,76,138,Annuel,0,0,0.168,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00579,23,Premium,Manufacturier,14467.31,20,10,49.2,0,3,154,57,Annuel,0,0,0.153,0,(client actif),13-24 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00580,64,Professionnel,Manufacturier,844.35,54,11,18.9,6,3,191,157,Pluriannuel,0,0,0.226,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00581,17,Entreprise,Santé,3986.51,42,2,68.5,0,4,176,166,Mensuel,1,0,0.36,0,(client actif),13-24 mois,Actif,🟡 Moyen,Actif engagé,Oui,Non
CLI00582,34,Professionnel,Finance,321.71,9,18,79.9,10,0,127,101,Pluriannuel,0,0,0.09,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00583,57,Professionnel,Manufacturier,570.88,1,12,40.1,2,0,125,115,Annuel,0,0,0.323,0,(client actif),48+ mois,Actif,🟢 Faible,Très inactif,Non,Non
CLI00584,4,Professionnel,Santé,524.77,16,10,40.7,4,3,95,6,Mensuel,0,0,0.02,0,(client actif),0-6 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00585,71,Professionnel,Technologie,980.02,59,6,23.3,2,2,112,142,Annuel,1,0,0.233,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00586,69,Entreprise,Commerce de détail,4098.57,12,11,32.6,5,3,79,132,Annuel,0,1,0.211,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00587,83,Entreprise,Finance,3830.84,26,17,34.2,8,3,10,173,Mensuel,0,0,0.399,0,(client actif),48+ mois,Actif,🟡 Moyen,Actif engagé,Non,Non
CLI00588,68,Premium,Finance,11631.41,53,15,19.0,1,2,36,39,Annuel,0,1,0.057,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00589,50,Professionnel,Santé,922.68,40,7,32.9,6,4,168,54,Mensuel,1,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00590,67,Entreprise,Manufacturier,1066.28,47,12,86.7,3,1,154,154,Annuel,0,0,0.17,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00591,68,Entreprise,Commerce de détail,1912.75,27,16,34.3,10,4,137,29,Mensuel,1,0,0.087,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00592,59,Démarrage,Commerce de détail,238.0,48,3,29.7,5,2,181,62,Pluriannuel,0,1,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00593,78,Professionnel,Finance,654.87,9,8,39.6,9,2,198,136,Mensuel,0,0,0.285,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00594,63,Professionnel,Finance,672.67,48,8,91.4,9,4,86,167,Mensuel,0,1,0.241,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00595,67,Premium,Commerce de détail,11244.17,51,9,73.8,5,1,53,146,Annuel,1,0,0.127,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00596,26,Premium,Technologie,7495.87,9,10,23.2,7,4,167,22,Annuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00597,1,Entreprise,Santé,1663.89,53,0,72.7,6,0,61,146,Pluriannuel,0,0,0.034,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00598,68,Professionnel,Technologie,505.14,45,16,74.0,4,0,52,165,Mensuel,0,1,0.24,1,Manque de fonctionnalités,48+ mois,Parti,🟢 Faible,Actif engagé,Non,Oui
CLI00599,78,Professionnel,Manufacturier,626.82,46,6,90.5,6,0,196,111,Annuel,0,0,0.108,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00600,18,Premium,Technologie,17360.89,8,10,85.2,5,1,196,161,Annuel,0,0,0.226,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00601,12,Professionnel,Technologie,611.78,33,12,13.6,4,1,170,176,Annuel,0,0,0.289,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00602,38,Professionnel,Manufacturier,927.46,45,5,45.9,8,2,195,48,Mensuel,1,0,0.088,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00603,42,Démarrage,Services professionnels,123.1,52,7,68.3,3,3,96,130,Pluriannuel,0,0,0.094,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00604,36,Premium,Services professionnels,9075.59,38,9,92.6,6,1,75,26,Mensuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00605,16,Démarrage,Santé,113.1,59,13,12.7,6,3,179,145,Mensuel,0,0,0.233,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00606,65,Démarrage,Commerce de détail,201.01,3,11,38.1,2,0,131,4,Mensuel,0,1,0.08,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00607,67,Entreprise,Technologie,1359.13,44,10,49.3,7,0,141,9,Pluriannuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00608,39,Démarrage,Santé,258.14,53,6,42.2,8,3,108,10,Pluriannuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00609,59,Premium,Manufacturier,5595.46,53,12,46.0,10,4,141,69,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00610,79,Professionnel,Services professionnels,631.78,3,1,38.2,4,2,120,166,Pluriannuel,0,1,0.412,0,(client actif),48+ mois,Actif,🟡 Moyen,Très inactif,Non,Oui
CLI00611,38,Premium,Santé,11308.22,3,2,92.4,0,2,121,49,Annuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00612,16,Entreprise,Services professionnels,1807.93,40,0,77.3,0,4,61,40,Annuel,0,0,0.02,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00613,81,Entreprise,Technologie,3346.42,10,5,71.3,4,3,24,177,Mensuel,0,0,0.298,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00614,74,Premium,Commerce de détail,10790.48,0,0,42.0,1,3,148,19,Annuel,1,1,0.11,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Oui,Oui
CLI00615,11,Professionnel,Manufacturier,437.58,44,1,84.3,1,1,74,37,Annuel,0,0,0.02,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00616,28,Professionnel,Manufacturier,877.59,20,9,13.4,5,0,97,49,Mensuel,0,0,0.104,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00617,82,Démarrage,Technologie,231.14,58,11,17.9,4,0,183,134,Mensuel,0,0,0.146,1,Mauvais service support,48+ mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00618,77,Démarrage,Services professionnels,101.43,24,4,90.9,10,3,35,64,Annuel,1,0,0.1,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Oui,Non
CLI00619,80,Entreprise,Santé,3006.46,8,8,56.0,1,1,78,151,Annuel,0,0,0.24,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00620,2,Démarrage,Commerce de détail,153.26,24,11,19.4,4,1,80,31,Annuel,0,0,0.02,0,(client actif),0-6 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00621,20,Professionnel,Manufacturier,939.58,17,7,90.4,10,2,30,53,Pluriannuel,0,0,0.129,0,(client actif),13-24 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00622,76,Professionnel,Technologie,806.91,6,9,92.7,3,2,83,33,Mensuel,1,0,0.178,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Oui,Non
CLI00623,72,Entreprise,Technologie,3445.46,45,13,84.3,5,3,161,17,Pluriannuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00624,38,Professionnel,Finance,361.34,25,19,26.5,0,2,41,65,Mensuel,0,1,0.135,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00625,56,Entreprise,Services professionnels,4721.58,55,14,30.1,2,1,194,67,Annuel,1,0,0.172,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00626,39,Démarrage,Finance,127.84,48,7,41.6,4,4,102,173,Pluriannuel,0,0,0.204,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00627,31,Entreprise,Santé,2801.99,17,8,57.1,7,0,177,88,Pluriannuel,0,0,0.082,1,Passage chez concurrent,25-48 mois,Parti,🟢 Faible,Modéré,Non,Non
CLI00628,80,Entreprise,Technologie,3723.17,0,4,94.3,1,3,8,37,Annuel,0,0,0.16,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00629,23,Démarrage,Services professionnels,197.95,8,0,91.1,7,2,84,92,Mensuel,0,1,0.16,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00630,34,Entreprise,Santé,4528.88,9,10,87.9,7,2,131,27,Pluriannuel,0,1,0.052,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00631,17,Entreprise,Santé,4340.37,47,3,13.0,5,1,65,148,Annuel,0,0,0.163,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00632,24,Premium,Commerce de détail,7029.52,10,5,73.1,4,2,85,170,Pluriannuel,1,0,0.308,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Oui,Non
CLI00633,35,Professionnel,Finance,731.35,31,16,83.9,6,0,121,153,Annuel,0,1,0.299,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00634,23,Démarrage,Santé,109.44,20,3,35.0,5,3,114,108,Annuel,1,0,0.278,0,(client actif),13-24 mois,Actif,🟢 Faible,Modéré,Oui,Non
CLI00635,8,Premium,Commerce de détail,15807.66,35,4,24.8,8,2,130,70,Mensuel,0,0,0.227,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00636,54,Entreprise,Commerce de détail,3943.08,55,13,72.4,1,4,169,179,Mensuel,0,0,0.326,1,Prix trop élevé,48+ mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00637,21,Démarrage,Services professionnels,167.9,31,17,13.2,5,4,181,110,Annuel,0,0,0.348,1,Prix trop élevé,13-24 mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00638,19,Premium,Finance,16797.91,18,2,89.7,10,3,144,167,Mensuel,0,0,0.402,1,Changement de direction,13-24 mois,Parti,🟡 Moyen,Modéré,Non,Non
CLI00639,31,Premium,Finance,14789.54,7,10,19.0,6,4,137,121,Annuel,1,0,0.288,1,Changement de direction,25-48 mois,Parti,🟢 Faible,Inactif,Oui,Non
CLI00640,50,Professionnel,Technologie,651.84,34,14,46.2,0,4,96,106,Pluriannuel,0,0,0.068,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00641,71,Démarrage,Santé,190.05,21,6,93.5,8,2,111,30,Annuel,0,0,0.073,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00642,24,Professionnel,Commerce de détail,375.4,3,3,93.9,7,4,39,47,Annuel,1,0,0.058,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Oui,Non
CLI00643,46,Premium,Technologie,12965.56,28,5,74.8,4,2,192,175,Pluriannuel,0,0,0.247,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00644,8,Démarrage,Services professionnels,130.22,30,9,80.5,4,0,164,50,Pluriannuel,0,1,0.022,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00645,77,Professionnel,Santé,758.22,7,6,92.0,8,1,151,28,Mensuel,0,0,0.02,1,Prix trop élevé,48+ mois,Parti,🟢 Faible,Inactif,Non,Non
CLI00646,3,Entreprise,Santé,3377.86,54,2,88.5,1,2,175,31,Annuel,0,0,0.02,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00647,34,Démarrage,Technologie,157.11,11,14,61.0,5,1,177,48,Mensuel,0,0,0.039,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00648,77,Professionnel,Commerce de détail,471.9,4,15,71.1,3,2,183,60,Pluriannuel,1,0,0.031,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Oui,Non
CLI00649,57,Démarrage,Technologie,194.21,29,2,58.4,3,2,119,47,Mensuel,0,1,0.039,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00650,58,Professionnel,Santé,657.74,34,11,50.6,7,3,94,173,Mensuel,0,0,0.33,1,Changement de direction,48+ mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00651,35,Professionnel,Technologie,857.55,36,4,84.3,2,2,138,129,Annuel,0,0,0.287,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00652,21,Professionnel,Technologie,511.77,3,4,71.4,10,4,63,119,Mensuel,0,0,0.257,0,(client actif),13-24 mois,Actif,🟢 Faible,Très inactif,Non,Non
CLI00653,65,Premium,Services professionnels,11050.34,55,0,82.4,7,4,95,100,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00654,66,Professionnel,Santé,539.31,42,5,13.6,9,2,108,23,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00655,57,Entreprise,Finance,2575.47,20,14,56.9,4,0,26,148,Mensuel,1,0,0.309,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Oui,Non
CLI00656,42,Entreprise,Services professionnels,3267.39,57,12,34.7,1,4,176,161,Mensuel,0,0,0.254,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00657,43,Démarrage,Commerce de détail,210.49,57,6,51.2,4,1,158,94,Mensuel,0,0,0.155,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00658,26,Démarrage,Santé,171.27,15,17,60.2,3,0,130,89,Annuel,0,0,0.241,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00659,67,Démarrage,Services professionnels,219.49,52,18,81.1,8,1,29,48,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00660,26,Professionnel,Services professionnels,730.23,17,5,7.9,5,2,182,144,Annuel,0,1,0.37,0,(client actif),25-48 mois,Actif,🟡 Moyen,Modéré,Non,Oui
CLI00661,8,Entreprise,Finance,3106.59,56,7,19.8,10,2,160,102,Annuel,0,0,0.054,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00662,47,Entreprise,Technologie,2808.45,30,2,87.9,2,2,108,167,Annuel,0,1,0.277,1,Prix trop élevé,25-48 mois,Parti,🟢 Faible,Actif engagé,Non,Oui
